elevation
90
89
92
93
94
95
94
92
88
85
83
83
84
85
86
86
86
85
82
79
79
82
90
100
90
88
93
95
95
95
93
91
88
84
81
81
81
82
82
82
81
80
79
78
78
78
83
92
91
89
92
94
95
94
94
92
89
85
83
82
82
82
81
79
78
77
77
77
76
76
78
81
91
90
92
95
96
95
93
91
89
87
85
82
81
80
81
80
79
79
78
77
76
76
77
79
92
93
94
95
94
94
92
90
89
87
85
83
82
81
82
82
82
82
81
81
81
80
80
81
94
95
96
95
94
93
93
92
91
90
88
86
85
84
85
85
85
84
84
84
86
85
82
79
96
96
97
96
95
94
94
94
93
92
91
88
88
88
88
88
87
87
86
86
88
87
84
81
98
98
98
97
96
95
94
95
95
94
92
91
91
92
91
90
89
88
88
88
87
86
85
84
101
101
100
98
97
97
95
95
97
96
95
93
93
93
92
92
91
90
90
89
87
86
85
86
104
103
101
101
101
100
97
95
99
98
95
94
93
93
92
92
93
92
92
90
89
88
88
88
106
104
102
102
103
102
99
97
97
97
96
96
95
94
94
94
94
94
93
91
90
90
90
89
109
108
106
105
103
101
100
99
99
97
95
95
95
94
93
94
94
93
92
92
92
91
90
90
111
109
107
106
104
101
100
98
98
96
94
95
95
94
92
93
94
94
93
93
92
91
89
90
111
109
107
105
103
100
98
96
95
94
94
96
94
92
89
88
88
90
90
89
89
89
89
91
110
107
106
104
102
99
97
95
94
93
93
97
93
89
86
84
83
84
85
85
84
85
87
89
